X,Y,id,@id,FIXME,access,access:conditional,addr:city,addr:postcode,addr:street,alt_name,area,bicycle,bridge,bridge:name,bridge:structure,bus,bus_bay,car,change:lanes,check_date,construction,contributor:ph,conveying,covered,crossing,crossing:markings,crossing_ref,cycleway,cycleway:both,cycleway:lane,cycleway:left,cycleway:right,cycleway:right:width,description,designation,destination,destination:backward,destination:forward,destination:ref,destination:street,driveway,fine:change:lanes,fine:turn:lanes,fixme2,flood_prone,foot,foot:conditional,footway,goods,handrail,handrail:center,handrail:left,handrail:right,hazmat,hgv,hgv:lanes,highway,horse,incline,indoor,junction,lane_markings,lanes,lanes:backward,lanes:forward,layer,level,lit,loc_name,man_made,mapillary,maxheight,maxspeed,maxspeed:type,maxweight,motor_vehicle,motor_vehicle:conditional,motorcar,motorcycle,motorcycle:lanes,mtb:scale,mtb:scale:uphill,name,name:abbr,name:en,name:es,name:etymology,name:etymology:wikidata,name:ja,name:tl,name:zh,name:zh-Hant,narrow,nat_name,noname,note,note:2022,old_name,oln,oneway,oneway:bicycle,oneway:foot,overtaking,parking:both,parking:lane:both,paved,postal_code,proposed,ramp,ramp:bicycle,ref,reg_name,sac_scale,segregated,service,short_name,sidewalk,smoothness,source,source:name,source:name:mapillary,source:nat_name,source:ref,source_ref,start_date,status,step_count,surface,tactile_paving,toll,tracktype,traffic_calming,trail_visibility,tree_lined,truck,tunnel,tunnel:name,turn:lanes,turn:lanes:backward,turn:lanes:forward,type,vehicle:conditional,website,wheelchair,width,wikidata,wikipedia
,,way/28951500,way/28951500,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,secondary,,,,,,"4",,,,,,,,,,"40",,,,,,,,,,M. Velez Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,,,,,,,,
,,way/28951501,way/28951501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,L. Bacayo Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,way/28956724,way/28956724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secondary,,,,,,,,,,,,,,,,"40",,,,,,,,,,G. Garcia Street,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,way/28956725,way/28956725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secondary,,,,,yes,"3",,,,,yes,,,,,"40",,,,,,,,,,N. Escario Street,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,right,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,
,,way/28956726,way/28956726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,E. Osmeña Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,way/28956727,way/28956727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,name,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,Veloso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,way/28957487,way/28957487,,,,,,,,,,,,,,,,,,,,,,,,,lane,,advisory,,,,,,,,,,,,,,,,,,,,,,,,,,,unclassified,,,,,,"4",,,,,,,,,,,,,,,,,,,,F. Cabahug Street,,,,,,,,,,,,,,,A. Soriano Jr. Avenue,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,way/28957488,way/28957488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tertiary,,,,,,"2",,,,,yes,,,,,"30",,,,,,,,,,Sikatuna Street,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,way/28957489,way/28957489,,,,,,,,,,,,,,,,,,,,,,,,,,,advisory,,lane,,,,,,,,,,,,,,,,,,,,,,,,,tertiary,,,,,,"2",,,,,yes,,,,,"40",,,,,,,,,,Dionisio Jakosalem Street,,,,Dionisio Abella Jakosalem,Q12899662,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,D. Jakosalem,both,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,
,,way/28957492,way/28957492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tertiary,,,,,,"2",,,,,yes,,,,,"30",,,,,,,,,,Junquera Street,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,
,,way/29241305,way/29241305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unclassified,,,,,,"2",,,,,,,,,,,,,,,,,,,,Quezon Boulevard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,,,,,,,,
,,way/29261571,way/29261571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,P. Rodriguez Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,way/29261572,way/29261572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tertiary,,,,,,,,,,,,,,,,,,,,,,,,,,Jasmin Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,both,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,
,,way/29261573,way/29261573,,,,,,,Don Mariano Cui Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tertiary,,,,,,"2",,,,,yes,,,,,,,,,,,,,,,Don Mariano Cui Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,
,,way/29261574,way/29261574,,,,,,,Don Jose Avila Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tertiary,,,,,no,"4",,,,,,,,,,,,,,,,,,,,Don Jose Avila Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J. Avila Street,,,,,,,,,,,,concrete,,,,,,,,,,,,,,,,,,,
,,way/29261576,way/29261576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tertiary,,,,,,"2",,,,,yes,,,,,,,,,,,,,,,N. Escario Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,,,,,,,,
,,way/29261584,way/29261584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,residential,,,,,,"2",,,,,,,,,,,,,,,,,,,,M.P. Yap Street,,,,,,,,,,,,,,,Maria Cristina Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,
,,way/29261588,way/29261588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tertiary,,,,,,"2",,,,,,,,,,"30",,,,,,,,,,Villalon Drive,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,
,,way/29261591,way/29261591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,Governor A. Climaco Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,way/29261594,way/29261594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tertiary,,,,,,,,,,,,,,,,,,,,,,,,,,Don Ramon Aboitiz Street,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,way/29261596,way/29261596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tertiary,,,,,,"2",,,,,yes,,,,,,,,,,,,,,,Don Mariano Cui Street,,,,Mariano Cui,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,
,,way/29290599,way/29290599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,,,,,,"2",,,,,,,,,,"50",,,,,,,,,,Veterans Drive,,,,,,,,,,,Cebu-Balamban Transcentral Highway,,,,,,,,,,,,,,,,,"815",,,,,,,,"bing, adjusted",,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,
,,way/29290601,way/29290601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,,,,,,"4","1","3",,,,,,,,"50",,,,,,,,,,Salinas Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,"815",,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,
,,way/29290602,way/29290602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secondary,,,,,,"4",,,,,,,,,,"50",,,,,,,,,,Gorordo Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,
,,way/29291209,way/29291209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,name,,,,,,,,,,,,,tertiary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,way/29451501,way/29451501,,,,,,,,,,,,,,,,,,,,,,,,,lane,,advisory,,,,,,,,,,,,,,,,,,,,,,,,,,,secondary,,,,,yes,"4","2","2",,,yes,,,,,"40",,,,,,,,,,Colon Street,,,,Cristóbal Colón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,both,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,
